y
-0.10847
0.45102
0.12098
0.71011
0.48012
0.12215
0.15268
0.10063
-0.43524
-0.76657
-0.81992
0.05731
0.30093
-0.3208
-0.14923
-0.084743
-0.07067
-0.3297
-0.076889
0.1631
0.2457
0.043503
-0.16348
-0.46324
-0.49868
-0.71691
-0.93237
0.10933
0.64558
-0.38718
-0.98304
-0.81819
0.1041
0.66402
-0.13612
-0.30246
-0.69463
-0.1432
0.53653
0.61694
0.70551
-0.25713
-0.47806
0.028545
0.13613
0.29858
0.20959
0.19587
0.061295
-0.83556
-0.91406
-0.63705
-0.21721
0.39999
0.42019
0.66055
0.37028
0.11285
0.20446
0.38195
0.70436
0.88756
-0.14252
-0.55807
-0.74653
-0.2726
0.26417
-0.39352
-0.85673
-0.55388
-0.18868
0.22217
0.088684
0.20573
0.12204
0.12919
0.79888
0.7097
-0.38237
0.28238
0.28939
-0.34587
-0.48392
-0.15915
0.22186
0.11637
-0.40297
-0.12713
-0.22546
-0.16474
0.45249
0.38366
-0.043465
0.13837
-0.31821
-0.26492
-0.092908
0.64806
0.81457
-0.29115
